,Type,Country,Area,Location,Activity,Sex,Age,Fatal,Time,NewDate,NewMonth,NewYear,NewDay,NewAge,NewFatal,NewSpecies
0,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,57,N,18h00,2018-06-25,Jun,2018,25,57.0,N,White
1,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,N,14h00  -15h00,2018-06-18,Jun,2018,18,11.0,N,
2,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,N,07h45,2018-06-09,Jun,2018,09,48.0,N,
3,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,,N,,2018-06-08,Jun,2018,08,,N,
4,Provoked,MEXICO,Colima,La Ticla,Free diving,M,,N,,2018-06-04,Jun,2018,04,,N,Tiger
6,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,Y,Late afternoon,2018-06-03,Jun,2018,03,18.0,Y,Tiger
7,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,N,,2018-05-27,May,2018,27,52.0,N,Lemon
8,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,N,17h00,2018-05-26,May,2018,26,15.0,N,Bull
9,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,N,14h00,2018-05-26,May,2018,26,12.0,N,
10,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,32,N,Morning,2018-05-24,May,2018,24,32.0,N,Reef
11,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,N,,2018-05-21,May,2018,21,10.0,N,
12,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,N,15h00,2018-05-13,May,2018,13,10.0,N,
13,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,N,08h15,2018-05-13,May,2018,13,21.0,N,
14,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,34,N,,2018-05-01,May,2018,01,34.0,N,Nurse
15,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,N,11h00,2018-05-12,May,2018,12,,N,
16,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,N,10h30,2018-05-09,May,2018,09,,N,
18,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,N,10h40,2018-04-28,Apr,2018,28,30.0,N,Tiger
19,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,N,16h50,2018-04-28,Apr,2018,28,,N,
20,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,N,07h00,2018-04-25,Apr,2018,25,,N,
